"organism","L","M","U","year"
"yellow_sponge",9,0,0,2023
"orange_sponge",53,5,0,2023
"red_sponge",15,3,0,2023
"unknown_other_porifera",16,3,0,2023
"anemone",11,7,5,2023
"aggregating.anemone",0,0,3,2023
"purple.encrusting.hydrocoral",0,0,0,2023
"hydroid",0,0,0,2023
"lions.mane",0,0,0,2023
"moon_jelly",0,0,0,2023
"egg_jelly",0,0,0,2023
"flat_worm",0,0,0,2023
"nonsegmented_worm",15,1,0,2023
"segmented_worm",73,16,5,2023
"tubeworm",117,17,0,2023
"other_worm",0,0,0,2023
"chiton_lined",64,36,1,2023
"chiton_mossy",17,39,14,2023
"chiton_hairy",6,21,4,2023
"chiton_leather",0,11,4,2023
"limpet",132,721,371,2023
"topsnail",98,48,14,2023
"turban_snail",19,78,14,2023
"sitka",0,0,0,2023
"bittium",4,0,0,2023
"wentletrap",0,0,0,2023
"dogwinkle",10,31,0,2023
"other_welk",32,53,11,2023
"olive",0,0,0,2023
"other_unknown_gastropoda",38,90,7,2023
"sea_clown",2,0,0,2023
"dorid",2,0,0,2023
"sea_lemon",2,1,0,2023
"other_unknown_opisthobranchia",1,1,0,2023
"mussel",3,24,18,2023
"oyster",20,20,4,2023
"clam",24,4,0,2023
"scallop",1,0,0,2023
"other_unknown_bivalvia",6,1,0,2023
"barnacles",18,19,10,2023
"isopods",5,13,2,2023
"amphipods",32,5,1,2023
"shrimp",0,2,0,2023
"black_clawed",109,16,0,2023
"hemigrapsus",18,95,9,2023
"hermit_crabs",111,223,21,2023
"kelp_crab",25,13,1,2023
"porcelain",146,88,1,2023
"rock_crab",11,2,1,2023
"other_unknown_decapoda",13,16,8,2023
"orange_encrusting",3,1,0,2023
"other_unknown_bryozoa",11,2,0,2023
"blood",3,3,0,2023
"evasterias",5,1,0,2023
"leather",8,1,0,2023
"leptasterias",38,41,2,2023
"pisaster",2,1,0,2023
"brittle",26,7,0,2023
"urchin",32,33,0,2023
"cucumber",111,40,1,2023
"tunicate",23,1,0,2023
"sea_squirt",28,8,0,2023
"other_unknown_tunicata",1,0,0,2023
"clingfish",1,0,0,2023
"sculpin",0,3,0,2023
"gunnel",54,13,0,2023
"other_unknown_osteichthyes",1,0,0,2023
"yellow_sponge",2,0,1,2024
"orange_sponge",23,7,0,2024
"red_sponge",117,2,0,2024
"unknown_other_porifera",2,7,0,2024
"anemone",2,0,1,2024
"aggregating.anemone",0,0,0,2024
"purple.encrusting.hydrocoral",0,0,0,2024
"hydroid",0,0,0,2024
"lions.mane",0,0,0,2024
"moon_jelly",0,0,0,2024
"egg_jelly",0,0,0,2024
"segmented_worm",110,9,1,2024
"nonsegmented_worm",141,1,0,2024
"flat_worm",1,5,1,2024
"other_worm",6,4,0,2024
"chiton_lined",4,5,1,2024
"chiton_mossy",10,8,1,2024
"chiton_hairy",10,9,0,2024
"chiton_leather",0,0,2,2024
"chiton_other",4,5,0,2024
"limpet",343,900,1274,2024
"topsnail",30,7,13,2024
"turban_snail",3,831,2881,2024
"checkered_snail",0,407,1081,2024
"periwinkle",7,1528,3918,2024
"bittium",0,1,0,2024
"dogwinkle",39,44,9,2024
"other_welk",0,0,0,2024
"other_unknown_gastropoda",9,37,20,2024
"sea_clown",0,0,0,2024
"dorid",0,0,0,2024
"sea_lemon",0,0,0,2024
"other_unknown_opisthobranchia",8,9,2,2024
"mussel",21,52,42,2024
"oyster",0,11,10,2024
"clam",5,0,0,2024
"scallop",3,0,0,2024
"other_unknown_bivalvia",0,0,0,2024
"barnacles",3069,6466,2592,2024
"isopod",0,4,0,2024
"isopod_other",128,35,1,2024
"amphipods",1056,201,28,2024
"shrimp",3,0,0,2024
"black_clawed",52,27,0,2024
"rock_crab",16,2,0,2024
"hermit_crabs",74,219,37,2024
"kelp_crab",10,7,0,2024
"porcelain",110,50,0,2024
"hemigrapsus",187,266,35,2024
"other_unknown_decapoda",9,2,0,2024
"orange_encrusting",0,0,0,2024
"other_unknown_bryozoa",38,1,0,2024
"blood",0,0,0,2024
"evasterias",0,0,0,2024
"leather",2,0,0,2024
"leptasterias",11,20,1,2024
"pisaster",0,0,0,2024
"brittle",99,0,0,2024
"urchin",0,3,0,2024
"cucumber",14,5,0,2024
"tunicate",0,0,0,2024
"sea_squirt",1,0,0,2024
"other_unknown_tunicata",0,0,0,2024
"clingfish",1,0,0,2024
"sculpin",1,0,0,2024
"gunnel",13,3,0,2024
"cockscomb",19,0,0,2024
"other_unknown_osteichthyes",0,0,0,2024
